1stIPC,SUM,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
F27D,130,11,15,17,23,10,19,13,4,8,4,6
F28B,10,1,4,3,1,1,0,0,0,0,0,0
F28C,4,0,1,1,1,0,0,1,0,0,0,0
F28D,431,15,12,20,29,44,52,64,60,54,39,42
F28F,475,15,22,41,54,66,68,41,49,35,37,47
F28G,4,0,0,0,0,1,0,0,0,0,1,2
F41A,5,0,0,1,0,1,2,1,0,0,0,0
F41B,25,2,2,1,3,3,4,3,4,1,1,1
F41F,1,0,0,0,0,0,0,0,0,1,0,0
F41G,7,0,0,0,1,0,0,2,1,1,1,1
F41H,8,0,0,1,1,2,1,1,1,0,0,1
F41J,1,0,0,0,0,0,0,0,1,0,0,0
F42B,24,3,2,3,1,4,0,2,4,2,0,3
F42C,3,1,0,0,1,0,0,1,0,0,0,0
F42D,2,0,0,0,1,0,0,0,0,0,0,1
G01B,2121,234,235,242,204,209,245,215,143,165,94,135
G01C,2319,230,193,193,191,207,233,223,202,232,190,225
G01D,1081,82,105,103,99,100,113,110,93,111,69,96
G01F,741,67,57,54,108,74,88,79,64,75,31,44
G01G,179,11,10,20,14,15,12,26,19,15,7,30
G01H,148,6,9,12,7,6,20,11,11,16,19,31
G01J,1472,169,171,163,135,152,142,123,117,95,96,109
G01K,500,36,29,45,46,70,59,40,31,54,37,53
G01L,1070,75,85,82,114,113,126,92,106,103,96,78
G01M,1007,115,82,84,83,97,100,90,90,114,62,90
G01N,8261,691,680,712,697,725,801,879,757,799,663,857
G01P,459,35,43,47,59,58,49,42,26,35,36,29
