1stIPC,SUM,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
D06H,0,0,0,0,0,0,0,0,0,0,0,0
D06L,1,0,0,0,0,0,0,1,0,0,0,0
D06M,23,1,1,2,0,1,0,2,1,4,4,7
D06N,7,0,0,0,0,0,0,0,0,2,3,2
D06P,19,0,0,0,4,3,1,2,2,0,5,2
D06Q,1,0,0,0,0,0,0,0,0,0,0,1
D07B,5,0,0,0,0,0,1,2,0,0,0,2
D21B,1,0,0,0,0,0,0,0,0,0,0,1
D21C,16,1,0,1,2,5,2,0,0,0,3,2
D21D,1,0,0,0,0,0,0,0,0,0,0,1
D21F,10,1,1,1,1,0,0,1,0,1,2,2
D21G,1,0,0,0,0,0,0,0,0,1,0,0
D21H,37,4,1,1,1,2,1,3,4,8,5,7
D21J,5,0,0,0,1,0,0,1,0,2,0,1
E01B,19,2,3,0,1,1,0,0,3,1,2,6
E01C,33,1,2,0,1,1,1,4,3,7,4,9
E01D,41,1,1,0,3,3,6,4,2,4,11,6
E01F,23,2,0,0,2,1,3,3,3,3,0,6
E01H,11,0,0,0,1,1,1,2,1,1,2,2
E02B,70,1,2,4,1,3,3,9,7,8,13,19
E02C,1,0,0,0,0,0,0,0,1,0,0,0
E02D,118,0,2,4,3,2,12,13,12,18,24,28
E02F,40,0,1,0,2,2,5,8,6,7,4,5
E03B,20,0,1,4,3,2,1,4,0,2,1,2
E03C,155,4,5,6,10,15,15,17,15,20,20,28
E03D,88,3,6,9,10,9,12,4,7,2,9,17
E03F,11,0,0,2,1,1,1,1,1,2,0,2
E04B,109,11,4,4,1,5,12,15,17,14,9,17
E04C,35,0,1,6,4,2,3,3,6,2,4,4
E04D,12,3,3,2,1,0,0,0,1,0,1,1
E04F,41,1,1,4,3,3,3,6,5,5,6,4
E04G,29,1,4,1,2,1,1,3,2,3,4,7
E04H,252,3,7,7,16,28,26,25,35,24,31,50
E05B,131,4,0,6,12,9,15,13,8,25,14,25
E05C,27,3,3,4,4,2,1,3,1,0,4,2
E05D,103,11,3,5,6,4,12,15,14,5,10,18
E05F,70,1,4,3,3,2,9,7,12,11,7,11
E05G,3,1,0,1,0,0,0,0,0,0,0,1
E06B,107,2,5,8,8,5,3,14,17,16,13,16
E06C,20,2,1,0,1,2,5,2,1,4,1,1
E21B,717,4,13,12,31,29,50,80,103,107,130,158
E21C,45,0,0,0,1,1,5,4,7,7,10,10
E21D,117,1,3,0,1,4,14,13,17,19,14,31
E21F,44,0,0,2,3,2,4,5,7,5,6,10
F01B,7,0,2,1,2,0,0,0,0,0,0,2
F01C,26,1,1,2,0,3,3,2,4,8,2,0
F01D,45,1,3,2,2,4,3,3,4,7,10,6
F01K,24,2,1,1,3,0,1,3,4,7,2,0
F01L,41,1,2,3,1,3,8,4,3,5,4,7
F01M,20,0,0,0,4,0,2,3,3,2,1,5
F01N,47,1,1,1,2,2,4,4,8,8,7,9
F01P,13,0,0,0,0,2,1,1,1,4,1,3
F02B,48,2,3,3,2,5,7,5,6,5,5,5
F02C,29,1,0,1,1,1,2,1,5,4,7,6
F02D,52,0,0,2,4,6,1,5,15,7,5,7
F02F,10,0,0,1,2,0,1,0,1,1,1,3
F02G,6,0,0,1,1,1,1,1,0,1,0,0
F02K,3,0,0,0,0,0,0,0,0,1,0,2
F02M,51,1,5,3,5,2,2,7,7,5,7,7
F02N,10,0,1,0,2,0,2,1,0,2,0,2
F02P,10,1,1,1,0,0,1,1,0,1,4,0
F03B,55,3,3,3,5,3,5,2,6,8,6,11
F03C,21,0,0,2,2,1,1,2,3,3,4,3
F03D,166,7,5,5,4,2,14,17,20,39,24,29
F03G,30,1,4,1,4,3,5,2,2,1,4,3
F03H,8,0,0,1,0,0,0,1,0,1,2,3
F04B,164,10,10,4,5,6,23,19,6,21,26,34
F04C,145,1,1,2,1,7,13,8,10,28,30,44
F04D,399,11,17,24,24,19,36,34,31,59,66,78
F04F,5,0,0,0,0,1,0,0,0,2,0,2
F15B,64,2,2,6,4,7,7,6,6,3,6,15
F15C,3,0,2,0,0,0,0,1,0,0,0,0
F15D,5,2,0,0,1,0,0,0,0,0,1,1
F16B,154,11,7,5,8,7,17,20,13,19,26,21
F16C,94,3,5,2,3,5,9,8,11,16,6,26
F16D,125,6,8,7,8,5,12,11,9,22,14,23
F16F,187,4,9,12,12,13,16,26,15,30,25,25
F16G,11,0,0,1,1,1,1,2,1,0,1,3
F16H,320,12,15,11,22,15,23,36,40,37,49,60
F16J,39,0,0,2,0,1,0,1,7,13,11,4
F16K,403,17,34,30,26,31,29,30,42,49,49,66
F16L,173,2,9,9,9,10,13,18,21,22,24,36
F16M,278,7,13,15,16,17,27,40,35,26,31,51
F16N,14,0,1,1,2,0,1,1,2,1,2,3
F16P,3,0,0,0,1,0,1,0,1,0,0,0
F16S,4,0,0,0,0,0,0,0,0,0,4,0
F17C,36,2,0,1,0,0,4,4,6,4,4,11
F17D,27,1,0,1,0,0,1,1,1,3,5,14
F21K,284,0,1,11,7,14,39,42,57,52,36,25
F21L,49,6,6,2,6,4,5,2,5,4,6,3
F21S,468,8,8,12,11,31,51,51,56,82,85,73
F21V,1985,109,97,98,138,211,218,264,233,207,190,220
F22B,29,0,1,2,4,3,2,3,9,1,2,2
F22D,3,0,0,1,0,0,0,0,0,1,1,0
F23B,3,0,0,0,0,0,0,1,0,0,1,1
F23C,14,0,0,0,3,2,3,1,1,2,0,2
F23D,15,2,1,1,0,0,3,1,2,1,1,3
F23G,12,2,0,0,0,0,1,1,4,0,0,4
F23H,0,0,0,0,0,0,0,0,0,0,0,0
F23J,7,1,0,2,0,0,0,1,0,0,2,1
F23K,2,0,0,0,1,0,0,1,0,0,0,0
F23L,5,0,0,1,1,0,0,0,0,2,1,0
F23N,16,0,0,0,0,0,1,1,1,5,5,3
F23Q,10,1,0,1,1,0,3,1,1,0,0,2
F23R,10,0,0,1,0,0,0,0,0,4,4,1
F24B,11,0,1,1,1,0,2,2,0,1,1,2
F24C,95,1,1,1,1,4,5,13,16,18,23,12
F24D,18,0,1,0,0,2,2,2,2,3,2,4
F24F,449,3,1,7,17,22,43,41,43,78,85,109
F24H,47,0,2,5,2,4,5,5,2,7,4,11
F24J,15,5,3,2,3,2,0,0,0,0,0,0
F24S,22,0,0,0,0,1,2,2,3,2,5,7
F24T,9,0,0,0,0,0,1,2,0,1,1,4
F25B,245,1,3,4,20,13,31,21,30,34,33,55
F25C,43,0,0,1,2,1,2,7,7,13,7,3
F25D,222,3,3,2,5,4,15,30,33,41,17,69
F25J,9,0,0,0,1,3,0,0,1,1,1,2
F26B,74,2,4,8,7,9,8,9,7,13,2,5
F27B,28,1,1,4,2,4,2,2,1,3,4,4
F27D,35,3,1,1,0,7,5,1,5,2,3,7
F28B,2,0,1,0,0,0,1,0,0,0,0,0
F28C,3,0,0,0,0,0,1,0,1,0,0,1
F28D,151,9,4,8,3,11,16,15,18,20,19,28
F28F,138,1,8,11,7,17,10,17,9,9,23,26
F28G,2,0,0,0,1,0,0,0,0,0,0,1
F41A,8,1,0,0,0,1,1,2,2,0,0,1
F41B,28,1,6,1,2,2,4,3,4,5,0,0
F41C,5,0,2,0,0,1,2,0,0,0,0,0
F41F,3,0,1,0,0,0,0,0,0,0,1,1
F41G,33,1,1,0,1,3,4,5,2,3,7,6
F41H,10,1,1,0,0,0,1,3,0,1,3,0
F41J,2,0,0,0,0,0,0,0,0,0,2,0
F42B,19,1,0,0,2,1,3,3,2,2,5,0
F42D,7,0,0,0,0,0,0,1,0,1,1,4
G01B,488,23,38,32,27,41,44,60,67,48,48,60
G01C,614,9,16,17,27,32,43,99,87,77,96,111
G01D,156,3,5,7,6,17,19,18,18,21,15,27
G01F,123,6,5,6,7,13,10,18,9,12,13,24
G01G,65,2,4,2,1,6,4,5,8,9,11,13
G01H,49,1,1,2,0,3,6,2,7,7,7,13
G01J,368,21,22,24,23,34,53,32,48,40,38,33
G01K,150,5,5,7,7,11,13,11,13,26,24,28
G01L,206,8,11,6,8,15,20,19,29,27,32,31
G01M,332,5,8,5,21,13,32,19,32,59,56,82
G01N,2101,48,74,87,96,157,149,218,277,274,321,400
G01P,109,3,2,4,12,7,9,9,16,22,16,9
G01Q,26,0,0,0,2,0,3,8,3,1,5,4
G01R,1543,84,68,67,95,93,119,148,175,209,231,254
G01S,771,1,6,11,14,13,40,72,103,133,167,211
G01T,268,6,8,8,13,19,35,39,36,38,45,21
G01V,407,2,8,9,17,21,43,53,50,68,67,69
G01W,32,0,1,3,1,1,0,4,3,5,7,7
G02B,3384,65,93,162,259,299,398,357,349,348,436,618
G02C,82,5,1,4,5,5,10,8,8,10,8,18
G02F,5333,220,339,365,476,533,669,607,537,603,412,572
G03B,711,18,29,29,50,78,76,80,108,85,64,94
G03C,5,0,1,2,0,1,0,1,0,0,0,0
G03D,6,0,1,0,1,2,0,0,0,0,1,1
